Unnamed: 0,Year,Disorder,DALYs,Region,Source
141,2011,Anxiety disorders,376.8312928571429,Western Pacific Region,Average
142,2012,Anxiety disorders,377.1475535714285,Western Pacific Region,Average
143,2013,Anxiety disorders,377.5084992857143,Western Pacific Region,Average
144,2014,Anxiety disorders,377.84747,Western Pacific Region,Average
145,2015,Anxiety disorders,378.25918642857147,Western Pacific Region,Average
146,2016,Anxiety disorders,380.2860564285715,Western Pacific Region,Average
147,2017,Anxiety disorders,382.2729314285715,Western Pacific Region,Average
148,2018,Anxiety disorders,382.6069364285714,Western Pacific Region,Average
149,2019,Anxiety disorders,382.895095,Western Pacific Region,Average
0,1990,Depressive disorders,813.768,African Region (WHO),WHO
1,1991,Depressive disorders,811.63586,African Region (WHO),WHO
2,1992,Depressive disorders,809.77264,African Region (WHO),WHO
3,1993,Depressive disorders,808.22644,African Region (WHO),WHO
4,1994,Depressive disorders,807.3702,African Region (WHO),WHO
5,1995,Depressive disorders,807.08826,African Region (WHO),WHO
6,1996,Depressive disorders,809.2946,African Region (WHO),WHO
7,1997,Depressive disorders,814.5101,African Region (WHO),WHO
8,1998,Depressive disorders,820.4837,African Region (WHO),WHO
9,1999,Depressive disorders,825.38885,African Region (WHO),WHO
10,2000,Depressive disorders,827.07385,African Region (WHO),WHO
11,2001,Depressive disorders,826.40894,African Region (WHO),WHO
12,2002,Depressive disorders,825.3656,African Region (WHO),WHO
13,2003,Depressive disorders,824.13513,African Region (WHO),WHO
14,2004,Depressive disorders,822.86224,African Region (WHO),WHO
15,2005,Depressive disorders,821.6296,African Region (WHO),WHO
16,2006,Depressive disorders,818.8298,African Region (WHO),WHO
17,2007,Depressive disorders,813.46387,African Region (WHO),WHO
18,2008,Depressive disorders,806.7373,African Region (WHO),WHO
19,2009,Depressive disorders,800.0522,African Region (WHO),WHO
20,2010,Depressive disorders,794.752,African Region (WHO),WHO
21,2011,Depressive disorders,789.9784,African Region (WHO),WHO
22,2012,Depressive disorders,784.7589,African Region (WHO),WHO
23,2013,Depressive disorders,779.8364,African Region (WHO),WHO
24,2014,Depressive disorders,776.3288,African Region (WHO),WHO
25,2015,Depressive disorders,775.25635,African Region (WHO),WHO
26,2016,Depressive disorders,776.6644,African Region (WHO),WHO
27,2017,Depressive disorders,778.1041,African Region (WHO),WHO
28,2018,Depressive disorders,778.90356,African Region (WHO),WHO
29,2019,Depressive disorders,779.7414,African Region (WHO),WHO
30,1990,Schizophrenia,135.87302,African Region (WHO),WHO
31,1991,Schizophrenia,135.84152,African Region (WHO),WHO
32,1992,Schizophrenia,135.82364,African Region (WHO),WHO
33,1993,Schizophrenia,135.78175,African Region (WHO),WHO
34,1994,Schizophrenia,135.70683,African Region (WHO),WHO
35,1995,Schizophrenia,135.65288,African Region (WHO),WHO
36,1996,Schizophrenia,135.53923,African Region (WHO),WHO
37,1997,Schizophrenia,135.37222,African Region (WHO),WHO
38,1998,Schizophrenia,135.18767,African Region (WHO),WHO
39,1999,Schizophrenia,135.07938,African Region (WHO),WHO
40,2000,Schizophrenia,134.99394,African Region (WHO),WHO
41,2001,Schizophrenia,135.11406,African Region (WHO),WHO
42,2002,Schizophrenia,135.36412,African Region (WHO),WHO
43,2003,Schizophrenia,135.61188,African Region (WHO),WHO
44,2004,Schizophrenia,135.90297,African Region (WHO),WHO
45,2005,Schizophrenia,136.09467,African Region (WHO),WHO
46,2006,Schizophrenia,136.184,African Region (WHO),WHO
47,2007,Schizophrenia,136.28596,African Region (WHO),WHO
48,2008,Schizophrenia,136.44983,African Region (WHO),WHO
49,2009,Schizophrenia,136.52705,African Region (WHO),WHO
50,2010,Schizophrenia,136.65668,African Region (WHO),WHO
51,2011,Schizophrenia,136.7575,African Region (WHO),WHO
52,2012,Schizophrenia,136.9345,African Region (WHO),WHO
53,2013,Schizophrenia,137.172,African Region (WHO),WHO
54,2014,Schizophrenia,137.35637,African Region (WHO),WHO
55,2015,Schizophrenia,137.44264,African Region (WHO),WHO
56,2016,Schizophrenia,137.57875,African Region (WHO),WHO
57,2017,Schizophrenia,137.73848,African Region (WHO),WHO
58,2018,Schizophrenia,137.91843,African Region (WHO),WHO
59,2019,Schizophrenia,138.14122,African Region (WHO),WHO
60,1990,Bipolar disorder,123.21381,African Region (WHO),WHO
61,1991,Bipolar disorder,123.19559,African Region (WHO),WHO
62,1992,Bipolar disorder,123.20784,African Region (WHO),WHO
63,1993,Bipolar disorder,123.1872,African Region (WHO),WHO
64,1994,Bipolar disorder,123.17723,African Region (WHO),WHO
65,1995,Bipolar disorder,123.154884,African Region (WHO),WHO
66,1996,Bipolar disorder,123.13204,African Region (WHO),WHO
67,1997,Bipolar disorder,123.11671,African Region (WHO),WHO
68,1998,Bipolar disorder,123.118996,African Region (WHO),WHO
69,1999,Bipolar disorder,123.08099,African Region (WHO),WHO
70,2000,Bipolar disorder,123.07383,African Region (WHO),WHO
71,2001,Bipolar disorder,123.09037,African Region (WHO),WHO
72,2002,Bipolar disorder,123.11003,African Region (WHO),WHO
73,2003,Bipolar disorder,123.12501,African Region (WHO),WHO
74,2004,Bipolar disorder,123.17873,African Region (WHO),WHO
75,2005,Bipolar disorder,123.23318,African Region (WHO),WHO
76,2006,Bipolar disorder,123.27816,African Region (WHO),WHO
77,2007,Bipolar disorder,123.347916,African Region (WHO),WHO
78,2008,Bipolar disorder,123.435585,African Region (WHO),WHO
79,2009,Bipolar disorder,123.5169,African Region (WHO),WHO
80,2010,Bipolar disorder,123.57414,African Region (WHO),WHO
81,2011,Bipolar disorder,123.582306,African Region (WHO),WHO
82,2012,Bipolar disorder,123.60925,African Region (WHO),WHO
83,2013,Bipolar disorder,123.606964,African Region (WHO),WHO
84,2014,Bipolar disorder,123.596535,African Region (WHO),WHO
85,2015,Bipolar disorder,123.59214,African Region (WHO),WHO
86,2016,Bipolar disorder,123.55772,African Region (WHO),WHO
87,2017,Bipolar disorder,123.53566,African Region (WHO),WHO
88,2018,Bipolar disorder,123.56626,African Region (WHO),WHO
89,2019,Bipolar disorder,123.5525,African Region (WHO),WHO
90,1990,Eating disorders,21.657314,African Region (WHO),WHO
91,1991,Eating disorders,21.468536,African Region (WHO),WHO
92,1992,Eating disorders,21.298965,African Region (WHO),WHO
93,1993,Eating disorders,21.141212,African Region (WHO),WHO
94,1994,Eating disorders,20.994555,African Region (WHO),WHO
95,1995,Eating disorders,20.869705,African Region (WHO),WHO
96,1996,Eating disorders,20.758709,African Region (WHO),WHO
97,1997,Eating disorders,20.650179,African Region (WHO),WHO
98,1998,Eating disorders,20.538477,African Region (WHO),WHO
99,1999,Eating disorders,20.467896,African Region (WHO),WHO
100,2000,Eating disorders,20.43388,African Region (WHO),WHO
101,2001,Eating disorders,20.467358,African Region (WHO),WHO
102,2002,Eating disorders,20.560804,African Region (WHO),WHO
103,2003,Eating disorders,20.71793,African Region (WHO),WHO
104,2004,Eating disorders,20.877773,African Region (WHO),WHO
105,2005,Eating disorders,21.02292,African Region (WHO),WHO
106,2006,Eating disorders,21.183002,African Region (WHO),WHO
107,2007,Eating disorders,21.383629,African Region (WHO),WHO
108,2008,Eating disorders,21.596321,African Region (WHO),WHO
109,2009,Eating disorders,21.781809,African Region (WHO),WHO
110,2010,Eating disorders,22.001614,African Region (WHO),WHO
111,2011,Eating disorders,22.214363,African Region (WHO),WHO
112,2012,Eating disorders,22.483326,African Region (WHO),WHO
113,2013,Eating disorders,22.766666,African Region (WHO),WHO
114,2014,Eating disorders,23.033365,African Region (WHO),WHO
115,2015,Eating disorders,23.270254,African Region (WHO),WHO
116,2016,Eating disorders,23.541826,African Region (WHO),WHO
117,2017,Eating disorders,23.761179,African Region (WHO),WHO
118,2018,Eating disorders,23.8502,African Region (WHO),WHO
119,2019,Eating disorders,23.904,African Region (WHO),WHO
120,1990,Anxiety disorders,332.0955,African Region (WHO),WHO
121,1991,Anxiety disorders,331.84326,African Region (WHO),WHO
122,1992,Anxiety disorders,331.59048,African Region (WHO),WHO
123,1993,Anxiety disorders,331.4094,African Region (WHO),WHO
124,1994,Anxiety disorders,331.24078,African Region (WHO),WHO
125,1995,Anxiety disorders,331.09436,African Region (WHO),WHO
126,1996,Anxiety disorders,330.84705,African Region (WHO),WHO
127,1997,Anxiety disorders,330.51013,African Region (WHO),WHO
128,1998,Anxiety disorders,330.1274,African Region (WHO),WHO
129,1999,Anxiety disorders,329.83243,African Region (WHO),WHO
130,2000,Anxiety disorders,329.6232,African Region (WHO),WHO
131,2001,Anxiety disorders,329.35275,African Region (WHO),WHO
132,2002,Anxiety disorders,328.93433,African Region (WHO),WHO
133,2003,Anxiety disorders,328.5306,African Region (WHO),WHO
134,2004,Anxiety disorders,328.17245,African Region (WHO),WHO
135,2005,Anxiety disorders,328.00888,African Region (WHO),WHO
136,2006,Anxiety disorders,328.56027,African Region (WHO),WHO
137,2007,Anxiety disorders,329.77505,African Region (WHO),WHO
138,2008,Anxiety disorders,331.29373,African Region (WHO),WHO
139,2009,Anxiety disorders,332.63538,African Region (WHO),WHO
140,2010,Anxiety disorders,333.32166,African Region (WHO),WHO
141,2011,Anxiety disorders,333.56436,African Region (WHO),WHO
142,2012,Anxiety disorders,333.83914,African Region (WHO),WHO
143,2013,Anxiety disorders,334.15808,African Region (WHO),WHO
144,2014,Anxiety disorders,334.46353,African Region (WHO),WHO
145,2015,Anxiety disorders,334.79727,African Region (WHO),WHO
146,2016,Anxiety disorders,335.50223,African Region (WHO),WHO
147,2017,Anxiety disorders,336.14566,African Region (WHO),WHO
148,2018,Anxiety disorders,335.9598,African Region (WHO),WHO
149,2019,Anxiety disorders,335.29965,African Region (WHO),WHO
0,1990,Depressive disorders,767.85474,Eastern Mediterranean Region (WHO),WHO
1,1991,Depressive disorders,765.0626,Eastern Mediterranean Region (WHO),WHO
2,1992,Depressive disorders,762.7414,Eastern Mediterranean Region (WHO),WHO
3,1993,Depressive disorders,760.83563,Eastern Mediterranean Region (WHO),WHO
4,1994,Depressive disorders,759.3411,Eastern Mediterranean Region (WHO),WHO
5,1995,Depressive disorders,758.50964,Eastern Mediterranean Region (WHO),WHO
6,1996,Depressive disorders,757.4681,Eastern Mediterranean Region (WHO),WHO
7,1997,Depressive disorders,755.5222,Eastern Mediterranean Region (WHO),WHO
8,1998,Depressive disorders,753.4568,Eastern Mediterranean Region (WHO),WHO
9,1999,Depressive disorders,751.5733,Eastern Mediterranean Region (WHO),WHO
10,2000,Depressive disorders,750.68195,Eastern Mediterranean Region (WHO),WHO
11,2001,Depressive disorders,750.7374,Eastern Mediterranean Region (WHO),WHO
12,2002,Depressive disorders,750.95337,Eastern Mediterranean Region (WHO),WHO
13,2003,Depressive disorders,751.216,Eastern Mediterranean Region (WHO),WHO
14,2004,Depressive disorders,751.40814,Eastern Mediterranean Region (WHO),WHO
15,2005,Depressive disorders,751.5584,Eastern Mediterranean Region (WHO),WHO
16,2006,Depressive disorders,751.2564,Eastern Mediterranean Region (WHO),WHO
17,2007,Depressive disorders,750.5804,Eastern Mediterranean Region (WHO),WHO
18,2008,Depressive disorders,749.59973,Eastern Mediterranean Region (WHO),WHO
19,2009,Depressive disorders,748.73096,Eastern Mediterranean Region (WHO),WHO
20,2010,Depressive disorders,747.89453,Eastern Mediterranean Region (WHO),WHO
21,2011,Depressive disorders,748.60345,Eastern Mediterranean Region (WHO),WHO
22,2012,Depressive disorders,751.90955,Eastern Mediterranean Region (WHO),WHO
23,2013,Depressive disorders,755.90955,Eastern Mediterranean Region (WHO),WHO
24,2014,Depressive disorders,759.1268,Eastern Mediterranean Region (WHO),WHO
25,2015,Depressive disorders,760.0596,Eastern Mediterranean Region (WHO),WHO
26,2016,Depressive disorders,758.3754,Eastern Mediterranean Region (WHO),WHO
27,2017,Depressive disorders,756.77374,Eastern Mediterranean Region (WHO),WHO
28,2018,Depressive disorders,757.5072,Eastern Mediterranean Region (WHO),WHO
29,2019,Depressive disorders,760.52686,Eastern Mediterranean Region (WHO),WHO
30,1990,Schizophrenia,163.86865,Eastern Mediterranean Region (WHO),WHO
31,1991,Schizophrenia,163.82713,Eastern Mediterranean Region (WHO),WHO
32,1992,Schizophrenia,163.65556,Eastern Mediterranean Region (WHO),WHO
33,1993,Schizophrenia,163.46031,Eastern Mediterranean Region (WHO),WHO
34,1994,Schizophrenia,163.39975,Eastern Mediterranean Region (WHO),WHO
35,1995,Schizophrenia,163.31183,Eastern Mediterranean Region (WHO),WHO
36,1996,Schizophrenia,163.30968,Eastern Mediterranean Region (WHO),WHO
37,1997,Schizophrenia,163.2603,Eastern Mediterranean Region (WHO),WHO
38,1998,Schizophrenia,163.17996,Eastern Mediterranean Region (WHO),WHO
39,1999,Schizophrenia,163.27933,Eastern Mediterranean Region (WHO),WHO
40,2000,Schizophrenia,163.17767,Eastern Mediterranean Region (WHO),WHO
41,2001,Schizophrenia,163.11829,Eastern Mediterranean Region (WHO),WHO
42,2002,Schizophrenia,163.069,Eastern Mediterranean Region (WHO),WHO
43,2003,Schizophrenia,162.87958,Eastern Mediterranean Region (WHO),WHO
44,2004,Schizophrenia,162.81714,Eastern Mediterranean Region (WHO),WHO
45,2005,Schizophrenia,162.8122,Eastern Mediterranean Region (WHO),WHO
46,2006,Schizophrenia,162.83208,Eastern Mediterranean Region (WHO),WHO
47,2007,Schizophrenia,162.80055,Eastern Mediterranean Region (WHO),WHO
48,2008,Schizophrenia,162.91641,Eastern Mediterranean Region (WHO),WHO
49,2009,Schizophrenia,162.98047,Eastern Mediterranean Region (WHO),WHO
50,2010,Schizophrenia,162.922,Eastern Mediterranean Region (WHO),WHO
51,2011,Schizophrenia,162.91347,Eastern Mediterranean Region (WHO),WHO
52,2012,Schizophrenia,162.88943,Eastern Mediterranean Region (WHO),WHO
53,2013,Schizophrenia,162.82697,Eastern Mediterranean Region (WHO),WHO
54,2014,Schizophrenia,162.80048,Eastern Mediterranean Region (WHO),WHO
55,2015,Schizophrenia,162.73038,Eastern Mediterranean Region (WHO),WHO
56,2016,Schizophrenia,162.68846,Eastern Mediterranean Region (WHO),WHO
57,2017,Schizophrenia,162.61618,Eastern Mediterranean Region (WHO),WHO
58,2018,Schizophrenia,162.553,Eastern Mediterranean Region (WHO),WHO
59,2019,Schizophrenia,162.50323,Eastern Mediterranean Region (WHO),WHO
60,1990,Bipolar disorder,138.64702,Eastern Mediterranean Region (WHO),WHO
61,1991,Bipolar disorder,138.8247,Eastern Mediterranean Region (WHO),WHO
62,1992,Bipolar disorder,138.96214,Eastern Mediterranean Region (WHO),WHO
63,1993,Bipolar disorder,139.03809,Eastern Mediterranean Region (WHO),WHO
64,1994,Bipolar disorder,139.18684,Eastern Mediterranean Region (WHO),WHO
65,1995,Bipolar disorder,139.35158,Eastern Mediterranean Region (WHO),WHO
66,1996,Bipolar disorder,139.41736,Eastern Mediterranean Region (WHO),WHO
67,1997,Bipolar disorder,139.49417,Eastern Mediterranean Region (WHO),WHO
68,1998,Bipolar disorder,139.60368,Eastern Mediterranean Region (WHO),WHO
69,1999,Bipolar disorder,139.68199,Eastern Mediterranean Region (WHO),WHO
70,2000,Bipolar disorder,139.80782,Eastern Mediterranean Region (WHO),WHO
71,2001,Bipolar disorder,139.88261,Eastern Mediterranean Region (WHO),WHO
72,2002,Bipolar disorder,139.93816,Eastern Mediterranean Region (WHO),WHO
73,2003,Bipolar disorder,139.98228,Eastern Mediterranean Region (WHO),WHO
74,2004,Bipolar disorder,140.11737,Eastern Mediterranean Region (WHO),WHO
75,2005,Bipolar disorder,140.15709,Eastern Mediterranean Region (WHO),WHO
76,2006,Bipolar disorder,140.20612,Eastern Mediterranean Region (WHO),WHO
77,2007,Bipolar disorder,140.26134,Eastern Mediterranean Region (WHO),WHO
78,2008,Bipolar disorder,140.30748,Eastern Mediterranean Region (WHO),WHO
79,2009,Bipolar disorder,140.3024,Eastern Mediterranean Region (WHO),WHO
80,2010,Bipolar disorder,140.2347,Eastern Mediterranean Region (WHO),WHO
81,2011,Bipolar disorder,140.09132,Eastern Mediterranean Region (WHO),WHO
82,2012,Bipolar disorder,139.93579,Eastern Mediterranean Region (WHO),WHO
83,2013,Bipolar disorder,139.73694,Eastern Mediterranean Region (WHO),WHO
84,2014,Bipolar disorder,139.52531,Eastern Mediterranean Region (WHO),WHO
85,2015,Bipolar disorder,139.3139,Eastern Mediterranean Region (WHO),WHO
86,2016,Bipolar disorder,139.07138,Eastern Mediterranean Region (WHO),WHO
87,2017,Bipolar disorder,138.89323,Eastern Mediterranean Region (WHO),WHO
88,2018,Bipolar disorder,138.61752,Eastern Mediterranean Region (WHO),WHO
89,2019,Bipolar disorder,138.35562,Eastern Mediterranean Region (WHO),WHO
90,1990,Eating disorders,32.425385,Eastern Mediterranean Region (WHO),WHO
91,1991,Eating disorders,32.420967,Eastern Mediterranean Region (WHO),WHO
92,1992,Eating disorders,32.343456,Eastern Mediterranean Region (WHO),WHO
93,1993,Eating disorders,32.288162,Eastern Mediterranean Region (WHO),WHO
94,1994,Eating disorders,32.286125,Eastern Mediterranean Region (WHO),WHO
95,1995,Eating disorders,32.311222,Eastern Mediterranean Region (WHO),WHO
96,1996,Eating disorders,32.359093,Eastern Mediterranean Region (WHO),WHO
97,1997,Eating disorders,32.420116,Eastern Mediterranean Region (WHO),WHO
98,1998,Eating disorders,32.503265,Eastern Mediterranean Region (WHO),WHO
99,1999,Eating disorders,32.60678,Eastern Mediterranean Region (WHO),WHO
100,2000,Eating disorders,32.725555,Eastern Mediterranean Region (WHO),WHO
101,2001,Eating disorders,32.90219,Eastern Mediterranean Region (WHO),WHO
102,2002,Eating disorders,33.152565,Eastern Mediterranean Region (WHO),WHO
103,2003,Eating disorders,33.463978,Eastern Mediterranean Region (WHO),WHO
104,2004,Eating disorders,33.795467,Eastern Mediterranean Region (WHO),WHO
105,2005,Eating disorders,34.10552,Eastern Mediterranean Region (WHO),WHO
106,2006,Eating disorders,34.44833,Eastern Mediterranean Region (WHO),WHO
107,2007,Eating disorders,34.955498,Eastern Mediterranean Region (WHO),WHO
108,2008,Eating disorders,35.449257,Eastern Mediterranean Region (WHO),WHO
109,2009,Eating disorders,35.908916,Eastern Mediterranean Region (WHO),WHO
110,2010,Eating disorders,36.187866,Eastern Mediterranean Region (WHO),WHO
111,2011,Eating disorders,36.42039,Eastern Mediterranean Region (WHO),WHO
112,2012,Eating disorders,36.66645,Eastern Mediterranean Region (WHO),WHO
113,2013,Eating disorders,36.851784,Eastern Mediterranean Region (WHO),WHO
114,2014,Eating disorders,37.03217,Eastern Mediterranean Region (WHO),WHO
115,2015,Eating disorders,37.200443,Eastern Mediterranean Region (WHO),WHO
116,2016,Eating disorders,37.437153,Eastern Mediterranean Region (WHO),WHO
117,2017,Eating disorders,37.60498,Eastern Mediterranean Region (WHO),WHO
118,2018,Eating disorders,37.59172,Eastern Mediterranean Region (WHO),WHO
119,2019,Eating disorders,37.53447,Eastern Mediterranean Region (WHO),WHO
120,1990,Anxiety disorders,440.1354,Eastern Mediterranean Region (WHO),WHO
121,1991,Anxiety disorders,440.29022,Eastern Mediterranean Region (WHO),WHO
122,1992,Anxiety disorders,440.09534,Eastern Mediterranean Region (WHO),WHO
123,1993,Anxiety disorders,440.2058,Eastern Mediterranean Region (WHO),WHO
124,1994,Anxiety disorders,440.5395,Eastern Mediterranean Region (WHO),WHO
125,1995,Anxiety disorders,440.80432,Eastern Mediterranean Region (WHO),WHO
126,1996,Anxiety disorders,440.2234,Eastern Mediterranean Region (WHO),WHO
127,1997,Anxiety disorders,438.6584,Eastern Mediterranean Region (WHO),WHO
128,1998,Anxiety disorders,436.96692,Eastern Mediterranean Region (WHO),WHO
129,1999,Anxiety disorders,435.5583,Eastern Mediterranean Region (WHO),WHO
130,2000,Anxiety disorders,435.02185,Eastern Mediterranean Region (WHO),WHO
131,2001,Anxiety disorders,435.08823,Eastern Mediterranean Region (WHO),WHO
132,2002,Anxiety disorders,435.27692,Eastern Mediterranean Region (WHO),WHO
133,2003,Anxiety disorders,435.5587,Eastern Mediterranean Region (WHO),WHO
134,2004,Anxiety disorders,435.74588,Eastern Mediterranean Region (WHO),WHO
135,2005,Anxiety disorders,435.9869,Eastern Mediterranean Region (WHO),WHO
136,2006,Anxiety disorders,437.277,Eastern Mediterranean Region (WHO),WHO
137,2007,Anxiety disorders,440.15463,Eastern Mediterranean Region (WHO),WHO
138,2008,Anxiety disorders,443.52145,Eastern Mediterranean Region (WHO),WHO
139,2009,Anxiety disorders,446.35803,Eastern Mediterranean Region (WHO),WHO
140,2010,Anxiety disorders,447.63727,Eastern Mediterranean Region (WHO),WHO
141,2011,Anxiety disorders,447.69678,Eastern Mediterranean Region (WHO),WHO
142,2012,Anxiety disorders,448.2455,Eastern Mediterranean Region (WHO),WHO
143,2013,Anxiety disorders,448.9152,Eastern Mediterranean Region (WHO),WHO
144,2014,Anxiety disorders,449.27893,Eastern Mediterranean Region (WHO),WHO
145,2015,Anxiety disorders,449.0322,Eastern Mediterranean Region (WHO),WHO
146,2016,Anxiety disorders,445.7549,Eastern Mediterranean Region (WHO),WHO
147,2017,Anxiety disorders,442.41513,Eastern Mediterranean Region (WHO),WHO
148,2018,Anxiety disorders,442.26068,Eastern Mediterranean Region (WHO),WHO
149,2019,Anxiety disorders,443.31262,Eastern Mediterranean Region (WHO),WHO
0,1990,Depressive disorders,632.8986,European Region (WHO),WHO
1,1991,Depressive disorders,630.8523,European Region (WHO),WHO
2,1992,Depressive disorders,629.05365,European Region (WHO),WHO
3,1993,Depressive disorders,627.4437,European Region (WHO),WHO
4,1994,Depressive disorders,626.1909,European Region (WHO),WHO
5,1995,Depressive disorders,625.3688,European Region (WHO),WHO
6,1996,Depressive disorders,625.2256,European Region (WHO),WHO
7,1997,Depressive disorders,626.0286,European Region (WHO),WHO
8,1998,Depressive disorders,626.9721,European Region (WHO),WHO
9,1999,Depressive disorders,627.6271,European Region (WHO),WHO
10,2000,Depressive disorders,627.47394,European Region (WHO),WHO
11,2001,Depressive disorders,625.94806,European Region (WHO),WHO
12,2002,Depressive disorders,623.3616,European Region (WHO),WHO
13,2003,Depressive disorders,620.21747,European Region (WHO),WHO
14,2004,Depressive disorders,617.0024,European Region (WHO),WHO
15,2005,Depressive disorders,614.4,European Region (WHO),WHO
16,2006,Depressive disorders,612.3966,European Region (WHO),WHO
17,2007,Depressive disorders,610.7314,European Region (WHO),WHO
18,2008,Depressive disorders,609.5778,European Region (WHO),WHO
19,2009,Depressive disorders,608.7735,European Region (WHO),WHO
20,2010,Depressive disorders,608.2617,European Region (WHO),WHO
21,2011,Depressive disorders,608.0096,European Region (WHO),WHO
22,2012,Depressive disorders,607.52637,European Region (WHO),WHO
23,2013,Depressive disorders,606.9933,European Region (WHO),WHO
24,2014,Depressive disorders,606.593,European Region (WHO),WHO
25,2015,Depressive disorders,606.52136,European Region (WHO),WHO
26,2016,Depressive disorders,605.6044,European Region (WHO),WHO
27,2017,Depressive disorders,604.3271,European Region (WHO),WHO
28,2018,Depressive disorders,604.2985,European Region (WHO),WHO
29,2019,Depressive disorders,605.2331,European Region (WHO),WHO
30,1990,Schizophrenia,176.43573,European Region (WHO),WHO
31,1991,Schizophrenia,176.24464,European Region (WHO),WHO
32,1992,Schizophrenia,176.09438,European Region (WHO),WHO
33,1993,Schizophrenia,175.98714,European Region (WHO),WHO
34,1994,Schizophrenia,175.8772,European Region (WHO),WHO
35,1995,Schizophrenia,175.79164,European Region (WHO),WHO
36,1996,Schizophrenia,175.74782,European Region (WHO),WHO
37,1997,Schizophrenia,175.56403,European Region (WHO),WHO
38,1998,Schizophrenia,175.46399,European Region (WHO),WHO
39,1999,Schizophrenia,175.36195,European Region (WHO),WHO
40,2000,Schizophrenia,175.32208,European Region (WHO),WHO
41,2001,Schizophrenia,175.36588,European Region (WHO),WHO
42,2002,Schizophrenia,175.49649,European Region (WHO),WHO
43,2003,Schizophrenia,175.55417,European Region (WHO),WHO
44,2004,Schizophrenia,175.70491,European Region (WHO),WHO
45,2005,Schizophrenia,175.7894,European Region (WHO),WHO
46,2006,Schizophrenia,175.94836,European Region (WHO),WHO
47,2007,Schizophrenia,176.15111,European Region (WHO),WHO
48,2008,Schizophrenia,176.3598,European Region (WHO),WHO
49,2009,Schizophrenia,176.53972,European Region (WHO),WHO
50,2010,Schizophrenia,176.67908,European Region (WHO),WHO
51,2011,Schizophrenia,176.89006,European Region (WHO),WHO
52,2012,Schizophrenia,177.20013,European Region (WHO),WHO
53,2013,Schizophrenia,177.48619,European Region (WHO),WHO
54,2014,Schizophrenia,177.77246,European Region (WHO),WHO
55,2015,Schizophrenia,177.91121,European Region (WHO),WHO
56,2016,Schizophrenia,177.95377,European Region (WHO),WHO
57,2017,Schizophrenia,177.98917,European Region (WHO),WHO
58,2018,Schizophrenia,177.4944,European Region (WHO),WHO
59,2019,Schizophrenia,176.55606,European Region (WHO),WHO
60,1990,Bipolar disorder,153.5706,European Region (WHO),WHO
61,1991,Bipolar disorder,153.551,European Region (WHO),WHO
62,1992,Bipolar disorder,153.51709,European Region (WHO),WHO
63,1993,Bipolar disorder,153.52087,European Region (WHO),WHO
64,1994,Bipolar disorder,153.52428,European Region (WHO),WHO
65,1995,Bipolar disorder,153.55453,European Region (WHO),WHO
66,1996,Bipolar disorder,153.59123,European Region (WHO),WHO
67,1997,Bipolar disorder,153.58444,European Region (WHO),WHO
68,1998,Bipolar disorder,153.54947,European Region (WHO),WHO
69,1999,Bipolar disorder,153.5343,European Region (WHO),WHO
70,2000,Bipolar disorder,153.61661,European Region (WHO),WHO
71,2001,Bipolar disorder,153.75432,European Region (WHO),WHO
72,2002,Bipolar disorder,153.91008,European Region (WHO),WHO
73,2003,Bipolar disorder,154.20264,European Region (WHO),WHO
74,2004,Bipolar disorder,154.4073,European Region (WHO),WHO
75,2005,Bipolar disorder,154.61594,European Region (WHO),WHO
76,2006,Bipolar disorder,154.80692,European Region (WHO),WHO
77,2007,Bipolar disorder,154.95102,European Region (WHO),WHO
78,2008,Bipolar disorder,155.10768,European Region (WHO),WHO
79,2009,Bipolar disorder,155.32137,European Region (WHO),WHO
80,2010,Bipolar disorder,155.55292,European Region (WHO),WHO
81,2011,Bipolar disorder,155.69101,European Region (WHO),WHO
82,2012,Bipolar disorder,155.87326,European Region (WHO),WHO
83,2013,Bipolar disorder,156.07744,European Region (WHO),WHO
84,2014,Bipolar disorder,156.19354,European Region (WHO),WHO
85,2015,Bipolar disorder,156.3776,European Region (WHO),WHO
86,2016,Bipolar disorder,156.4575,European Region (WHO),WHO
87,2017,Bipolar disorder,156.53288,European Region (WHO),WHO
88,2018,Bipolar disorder,156.5749,European Region (WHO),WHO
89,2019,Bipolar disorder,156.62009,European Region (WHO),WHO
90,1990,Eating disorders,55.88467,European Region (WHO),WHO
91,1991,Eating disorders,55.848618,European Region (WHO),WHO
92,1992,Eating disorders,55.815872,European Region (WHO),WHO
93,1993,Eating disorders,55.765717,European Region (WHO),WHO
94,1994,Eating disorders,55.67452,European Region (WHO),WHO
95,1995,Eating disorders,55.564255,European Region (WHO),WHO
96,1996,Eating disorders,55.478195,European Region (WHO),WHO
97,1997,Eating disorders,55.436428,European Region (WHO),WHO
98,1998,Eating disorders,55.422295,European Region (WHO),WHO
99,1999,Eating disorders,55.521603,European Region (WHO),WHO
100,2000,Eating disorders,55.688236,European Region (WHO),WHO
101,2001,Eating disorders,56.00575,European Region (WHO),WHO
102,2002,Eating disorders,56.49845,European Region (WHO),WHO
103,2003,Eating disorders,57.044685,European Region (WHO),WHO
104,2004,Eating disorders,57.61629,European Region (WHO),WHO
105,2005,Eating disorders,58.110874,European Region (WHO),WHO
106,2006,Eating disorders,58.660637,European Region (WHO),WHO
107,2007,Eating disorders,59.304825,European Region (WHO),WHO
